Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,-100,-100,-13681390.347680788,-13681390.347680788,3.5036517809515935e+28,3
0.001,-100,-90,-13681390.347680788,-5102647.5426145755,1.785722190024768e+28,3
0.001,-100,-80,-13681390.347680788,-1674658.989963672,1.7522191466456856e+28,3
0.001,-100,-70,-13681390.347680788,-464314.09695438604,1.7518282143760428e+28,3
0.001,-100,-60,-13681390.347680788,-101783.62275541798,1.7518258958421792e+28,3
0.001,-100,-50,-13681390.347680788,-15605.789613869973,1.7518258904787623e+28,3
0.001,-100,-40,-13681390.347680788,-1244.5555912439688,1.751825890475797e+28,3
0.001,-100,-30,-13681390.347680788,-2.122499441968749,1.7518258904757967e+28,3
0.001,-100,-20,-13681390.347680788,-4.23263676596875,1.7518258904757967e+28,3
0.001,-100,-10,-13681390.347680788,-7.20792391796875,1.7518258904757967e+28,3
0.001,-100,0,-13681390.347680788,-0.00503999996875,1.7518258904757967e+28,3
0.001,-100,10,-13681390.347680788,7.19984148603125,1.7518258904757967e+28,3
0.001,-100,20,-13681390.347680788,4.223116638031249,1.7518258904757967e+28,3
0.001,-100,30,-13681390.347680788,2.1290151540312507,1.7518258904757967e+28,3
0.001,-100,40,-13681390.347680788,1244.7744643320311,1.751825890475797e+28,3
0.001,-100,50,-13681390.347680788,15606.969953070036,1.7518258904787632e+28,3
0.001,-100,60,-13681390.347680788,101787.74279586606,1.7518258958430482e+28,3
0.001,-100,70,-13681390.347680788,464325.4291968181,1.7518282146029232e+28,3
0.001,-100,80,-13681390.347680788,1674685.641513624,1.7522191716803625e+28,3
0.001,-100,90,-13681390.347680788,5102703.557121582,1.785723678440934e+28,3
0.001,-100,100,-13681390.347680788,13681498.455277592,3.503707151912283e+28,3
0.001,-90,-100,-5102647.5426145755,-13681390.347680788,1.785722190024768e+28,3
0.001,-90,-90,-5102647.5426145755,-5102647.5426145755,6.779259909794227e+26,3
0.001,-90,-80,-5102647.5426145755,-1674658.989963672,3.428955571886002e+26,3
0.001,-90,-70,-5102647.5426145755,-464314.09695438604,3.389862344921707e+26,3
0.001,-90,-60,-5102647.5426145755,-101783.62275541798,3.38963049153536e+26,3
0.001,-90,-50,-5102647.5426145755,-15605.789613869973,3.389629955193674e+26,3
0.001,-90,-40,-5102647.5426145755,-1244.5555912439688,3.389629954897125e+26,3
0.001,-90,-30,-5102647.5426145755,-2.122499441968749,3.3896299548971134e+26,3
0.001,-90,-20,-5102647.5426145755,-4.23263676596875,3.3896299548971134e+26,3
0.001,-90,-10,-5102647.5426145755,-7.20792391796875,3.3896299548971134e+26,3
0.001,-90,0,-5102647.5426145755,-0.00503999996875,3.3896299548971134e+26,3
0.001,-90,10,-5102647.5426145755,7.19984148603125,3.3896299548971134e+26,3
0.001,-90,20,-5102647.5426145755,4.223116638031249,3.3896299548971134e+26,3
0.001,-90,30,-5102647.5426145755,2.1290151540312507,3.3896299548971134e+26,3
0.001,-90,40,-5102647.5426145755,1244.7744643320311,3.389629954897125e+26,3
0.001,-90,50,-5102647.5426145755,15606.969953070036,3.389629955193764e+26,3
0.001,-90,60,-5102647.5426145755,101787.74279586606,3.389630491622254e+26,3
0.001,-90,70,-5102647.5426145755,464325.4291968181,3.389862367609767e+26,3
0.001,-90,80,-5102647.5426145755,1674685.641513624,3.428958075353686e+26,3
0.001,-90,90,-5102647.5426145755,5102703.557121582,6.779408751410841e+26,3
0.001,-90,100,-5102647.5426145755,13681498.455277592,1.7857775609854577e+28,3
0.001,-80,-100,-1674658.989963672,-13681390.347680788,1.7522191466456856e+28,3
0.001,-80,-90,-1674658.989963672,-5102647.5426145755,3.428955571886002e+26,3
0.001,-80,-80,-1674658.989963672,-1674658.989963672,7.8651233977777e+24,3
0.001,-80,-70,-1674658.989963672,-464314.09695438604,3.955800701348196e+24,3
0.001,-80,-60,-1674658.989963672,-101783.62275541798,3.932615362713494e+24,3
0.001,-80,-50,-1674658.989963672,-15605.789613869973,3.932561728544877e+24,3
0.001,-80,-40,-1674658.989963672,-1244.5555912439688,3.9325616988900494e+24,3
0.001,-80,-30,-1674658.989963672,-2.122499441968749,3.93256169888885e+24,3
0.001,-80,-20,-1674658.989963672,-4.23263676596875,3.93256169888885e+24,3
0.001,-80,-10,-1674658.989963672,-7.20792391796875,3.93256169888885e+24,3
0.001,-80,0,-1674658.989963672,-0.00503999996875,3.93256169888885e+24,3
0.001,-80,10,-1674658.989963672,7.19984148603125,3.93256169888885e+24,3
0.001,-80,20,-1674658.989963672,4.223116638031249,3.93256169888885e+24,3
0.001,-80,30,-1674658.989963672,2.1290151540312507,3.93256169888885e+24,3
0.001,-80,40,-1674658.989963672,1244.7744643320311,3.9325616988900505e+24,3
0.001,-80,50,-1674658.989963672,15606.969953070036,3.93256172855385e+24,3
0.001,-80,60,-1674658.989963672,101787.74279586606,3.9326153714029294e+24,3
0.001,-80,70,-1674658.989963672,464325.4291968181,3.9558029701541855e+24,3
0.001,-80,80,-1674658.989963672,1674685.641513624,7.86537374454609e+24,3
0.001,-80,90,-1674658.989963672,5102703.557121582,3.429104413502617e+26,3
0.001,-80,100,-1674658.989963672,13681498.455277592,1.7522745176063753e+28,3
0.001,-70,-100,-464314.09695438604,-13681390.347680788,1.7518282143760428e+28,3
0.001,-70,-90,-464314.09695438604,-5102647.5426145755,3.389862344921707e+26,3
0.001,-70,-80,-464314.09695438604,-1674658.989963672,3.955800701348196e+24,3
0.001,-70,-70,200200705158382.1,200200705158382.1,1.606432239352328e+57,4
0.001,-70,-60,200200705158382.1,2108937396507.3953,8.032161295668124e+56,4
0.001,-70,-50,200200705158382.1,7601273044.929015,8.03216119676164e+56,4
0.001,-70,-40,200200705158382.1,3854166.1860699463,8.03216119676164e+56,4
0.001,-70,-30,200200705158382.1,-2.1398356965926006,8.03216119676164e+56,4
0.001,-70,-20,200200705158382.1,-4.15120176739344,8.03216119676164e+56,4
0.001,-70,-10,200200705158382.1,-6.576787331754026,8.03216119676164e+56,4
0.001,-70,0,200200705158382.1,-0.007620639712201877,8.03216119676164e+56,4
0.001,-70,10,200200705158382.1,6.566092252907126,8.03216119676164e+56,4
0.001,-70,20,200200705158382.1,4.137550348214795,8.03216119676164e+56,4
0.001,-70,30,200200705158382.1,2.141278998988117,8.03216119676164e+56,4
0.001,-70,40,200200705158382.1,-3856200.426050375,8.03216119676164e+56,4
0.001,-70,50,200200705158382.1,-7602997937.783982,8.03216119676164e+56,4
0.001,-70,60,200200705158382.1,-2109193506256.9722,8.032161295716177e+56,4
0.001,-70,70,200200705158382.1,-200215364060510.25,1.6066675144424095e+57,4
0.001,-70,80,-464314.09695438604,1674685.641513624,3.956051048116587e+24,3
0.001,-70,90,-464314.09695438604,5102703.557121582,3.3900111865383214e+26,3
0.001,-70,100,-464314.09695438604,13681498.455277592,1.7518835853367325e+28,3
0.001,-60,-100,-101783.62275541798,-13681390.347680788,1.7518258958421792e+28,3
0.001,-60,-90,-101783.62275541798,-5102647.5426145755,3.38963049153536e+26,3
0.001,-60,-80,-101783.62275541798,-1674658.989963672,3.932615362713494e+24,3
0.001,-60,-70,2108937396507.3953,200200705158382.1,8.032161295668124e+56,4
0.001,-60,-60,2108937396507.3953,2108937396507.3953,1.978129646621136e+49,4
0.001,-60,-50,2108937396507.3953,7601273044.929015,9.890648234774907e+48,4
0.001,-60,-40,2108937396507.3953,3854166.1860699463,9.89064823310568e+48,4
0.001,-60,-30,2108937396507.3953,-2.1398356965926006,9.89064823310568e+48,4
0.001,-60,-20,2108937396507.3953,-4.15120176739344,9.89064823310568e+48,4
0.001,-60,-10,2108937396507.3953,-6.576787331754026,9.89064823310568e+48,4
0.001,-60,0,2108937396507.3953,-0.007620639712201877,9.89064823310568e+48,4
0.001,-60,10,2108937396507.3953,6.566092252907126,9.89064823310568e+48,4
0.001,-60,20,2108937396507.3953,4.137550348214795,9.89064823310568e+48,4
0.001,-60,30,2108937396507.3953,2.141278998988117,9.89064823310568e+48,4
0.001,-60,40,2108937396507.3953,-3856200.426050375,9.89064823310568e+48,4
0.001,-60,50,2108937396507.3953,-7602997937.783982,9.890648234776422e+48,4
0.001,-60,60,2108937396507.3953,-2109193506256.9722,1.9786101830111364e+49,4
0.001,-60,70,2108937396507.3953,-200215364060510.25,8.034514046568937e+56,4
0.001,-60,80,-101783.62275541798,1674685.641513624,3.932865709481885e+24,3
0.001,-60,90,-101783.62275541798,5102703.557121582,3.3897793331519745e+26,3
0.001,-60,100,-101783.62275541798,13681498.455277592,1.751881266802869e+28,3
0.001,-50,-100,-15605.789613869973,-13681390.347680788,1.7518258904787623e+28,3
0.001,-50,-90,-15605.789613869973,-5102647.5426145755,3.389629955193674e+26,3
0.001,-50,-80,-15605.789613869973,-1674658.989963672,3.932561728544877e+24,3
0.001,-50,-70,7601273044.929015,200200705158382.1,8.03216119676164e+56,4
0.001,-50,-60,7601273044.929015,2108937396507.3953,9.890648234774907e+48,4
0.001,-50,-50,7601273044.929015,7601273044.929015,3.3384535063959337e+39,4
0.001,-50,-40,7601273044.929015,3854166.1860699463,1.669226753198077e+39,4
0.001,-50,-30,7601273044.929015,-2.1398356965926006,1.6692267531979668e+39,4
0.001,-50,-20,7601273044.929015,-4.15120176739344,1.6692267531979668e+39,4
0.001,-50,-10,7601273044.929015,-6.576787331754026,1.6692267531979668e+39,4
0.001,-50,0,7601273044.929015,-0.007620639712201877,1.6692267531979668e+39,4
0.001,-50,10,7601273044.929015,6.566092252907126,1.6692267531979668e+39,4
0.001,-50,20,7601273044.929015,4.137550348214795,1.6692267531979668e+39,4
0.001,-50,30,7601273044.929015,2.141278998988117,1.6692267531979668e+39,4
0.001,-50,40,7601273044.929015,-3856200.426050375,1.6692267531980774e+39,4
0.001,-50,50,7601273044.929015,-7602997937.783982,3.339969156457576e+39,4
0.001,-50,60,7601273044.929015,-2109193506256.9722,9.895453598674911e+48,4
0.001,-50,70,7601273044.929015,-200215364060510.25,8.034513947662454e+56,4
0.001,-50,80,-15605.789613869973,1674685.641513624,3.932812075313268e+24,3
0.001,-50,90,-15605.789613869973,5102703.557121582,3.3897787968102884e+26,3
0.001,-50,100,-15605.789613869973,13681498.455277592,1.751881261439452e+28,3
0.001,-40,-100,-1244.5555912439688,-13681390.347680788,1.751825890475797e+28,3
0.001,-40,-90,-1244.5555912439688,-5102647.5426145755,3.389629954897125e+26,3
0.001,-40,-80,-1244.5555912439688,-1674658.989963672,3.9325616988900494e+24,3
0.001,-40,-70,3854166.1860699463,200200705158382.1,8.03216119676164e+56,4
0.001,-40,-60,3854166.1860699463,2108937396507.3953,9.89064823310568e+48,4
0.001,-40,-50,3854166.1860699463,7601273044.929015,1.669226753198077e+39,4
0.001,-40,-40,3854166.1860699463,3854166.1860699463,2.2065905173047314e+26,4
0.001,-40,-30,3854166.1860699463,-2.1398356965926006,1.1032952586523657e+26,4
0.001,-40,-20,3854166.1860699463,-4.15120176739344,1.1032952586523657e+26,4
0.001,-40,-10,3854166.1860699463,-6.576787331754026,1.1032952586523657e+26,4
0.001,-40,0,3854166.1860699463,-0.007620639712201877,1.1032952586523657e+26,4
0.001,-40,10,3854166.1860699463,6.566092252907126,1.1032952586523657e+26,4
0.001,-40,20,3854166.1860699463,4.137550348214795,1.1032952586523657e+26,4
0.001,-40,30,3854166.1860699463,2.141278998988117,1.1032952586523657e+26,4
0.001,-40,40,3854166.1860699463,-3856200.426050375,2.208921651685055e+26,4
0.001,-40,50,3854166.1860699463,-7602997937.783982,1.67074240325972e+39,4
0.001,-40,60,3854166.1860699463,-2109193506256.9722,9.895453597005684e+48,4
0.001,-40,70,3854166.1860699463,-200215364060510.25,8.034513947662454e+56,4
0.001,-40,80,-1244.5555912439688,1674685.641513624,3.9328120456584403e+24,3
0.001,-40,90,-1244.5555912439688,5102703.557121582,3.38977879651374e+26,3
0.001,-40,100,-1244.5555912439688,13681498.455277592,1.7518812614364867e+28,3
0.001,-30,-100,-2.122499441968749,-13681390.347680788,1.7518258904757967e+28,3
0.001,-30,-90,-2.122499441968749,-5102647.5426145755,3.3896299548971134e+26,3
0.001,-30,-80,-2.122499441968749,-1674658.989963672,3.93256169888885e+24,3
0.001,-30,-70,-2.1398356965926006,200200705158382.1,8.03216119676164e+56,4
0.001,-30,-60,-2.1398356965926006,2108937396507.3953,9.89064823310568e+48,4
0.001,-30,-50,-2.1398356965926006,7601273044.929015,1.6692267531979668e+39,4
0.001,-30,-40,-2.1398356965926006,3854166.1860699463,1.1032952586523657e+26,4
0.001,-30,-30,-2.864122383960878,-2.864122383960878,-78.27932288667931,100
0.001,-30,-20,-2.864122383960878,-2.928032126805943,-78.29536395740882,100
0.001,-30,-10,-2.864122383960878,-2.9416896113151987,-78.28032966366393,100
0.001,-30,0,-2.864122383960878,-0.5996323440811666,-43.45057256952079,100
0.001,-30,10,-2.864122383960878,2.8086540775187716,-64.11181433040971,100
0.001,-30,20,-2.864122383960878,2.7895022503716413,-64.14199595956651,100
0.001,-30,30,-2.864122383960878,2.697256604253577,-64.13384747620711,100
0.001,-30,40,-2.1398356965926006,-3856200.426050375,1.1056263930326894e+26,4
0.001,-30,50,-2.1398356965926006,-7602997937.783982,1.6707424032596097e+39,4
0.001,-30,60,-2.1398356965926006,-2109193506256.9722,9.895453597005684e+48,4
0.001,-30,70,-2.1398356965926006,-200215364060510.25,8.034513947662454e+56,4
0.001,-30,80,-2.122499441968749,1674685.641513624,3.932812045657241e+24,3
0.001,-30,90,-2.122499441968749,5102703.557121582,3.389778796513728e+26,3
0.001,-30,100,-2.122499441968749,13681498.455277592,1.7518812614364865e+28,3
0.001,-20,-100,-4.23263676596875,-13681390.347680788,1.7518258904757967e+28,3
0.001,-20,-90,-4.23263676596875,-5102647.5426145755,3.3896299548971134e+26,3
0.001,-20,-80,-4.23263676596875,-1674658.989963672,3.93256169888885e+24,3
0.001,-20,-70,-4.15120176739344,200200705158382.1,8.03216119676164e+56,4
0.001,-20,-60,-4.15120176739344,2108937396507.3953,9.89064823310568e+48,4
0.001,-20,-50,-4.15120176739344,7601273044.929015,1.6692267531979668e+39,4
0.001,-20,-40,-4.15120176739344,3854166.1860699463,1.1032952586523657e+26,4
0.001,-20,-30,-2.928032126805943,-2.864122383960878,-78.29536395740882,100
0.001,-20,-20,-2.928032126805943,-2.928032126805943,-78.31140502813834,100
0.001,-20,-10,-2.928032126805943,-2.9416896113151987,-78.29637073439343,100
0.001,-20,0,-2.928032126805943,-0.5996323440811666,-43.4666136402503,100
0.001,-20,10,-2.928032126805943,2.8086540775187716,-64.12785540113923,100
0.001,-20,20,-2.928032126805943,2.7895022503716413,-64.15803703029601,100
0.001,-20,30,-2.928032126805943,2.697256604253577,-64.14988854693661,100
0.001,-20,40,-4.15120176739344,-3856200.426050375,1.1056263930326894e+26,4
0.001,-20,50,-4.15120176739344,-7602997937.783982,1.6707424032596097e+39,4
0.001,-20,60,-4.15120176739344,-2109193506256.9722,9.895453597005684e+48,4
0.001,-20,70,-4.15120176739344,-200215364060510.25,8.034513947662454e+56,4
0.001,-20,80,-4.23263676596875,1674685.641513624,3.932812045657241e+24,3
0.001,-20,90,-4.23263676596875,5102703.557121582,3.389778796513728e+26,3
0.001,-20,100,-4.23263676596875,13681498.455277592,1.7518812614364865e+28,3
0.001,-10,-100,-7.20792391796875,-13681390.347680788,1.7518258904757967e+28,3
0.001,-10,-90,-7.20792391796875,-5102647.5426145755,3.3896299548971134e+26,3
0.001,-10,-80,-7.20792391796875,-1674658.989963672,3.93256169888885e+24,3
0.001,-10,-70,-6.576787331754026,200200705158382.1,8.03216119676164e+56,4
0.001,-10,-60,-6.576787331754026,2108937396507.3953,9.89064823310568e+48,4
0.001,-10,-50,-6.576787331754026,7601273044.929015,1.6692267531979668e+39,4
0.001,-10,-40,-6.576787331754026,3854166.1860699463,1.1032952586523657e+26,4
0.001,-10,-30,-2.9416896113151987,-2.864122383960878,-78.28032966366393,100
0.001,-10,-20,-2.9416896113151987,-2.928032126805943,-78.29637073439343,100
0.001,-10,-10,-2.9416896113151987,-2.9416896113151987,-78.28133644064854,100
0.001,-10,0,-2.9416896113151987,-0.5996323440811666,-43.451579346505405,100
0.001,-10,10,-2.9416896113151987,2.8086540775187716,-64.11282110739432,100
0.001,-10,20,-2.9416896113151987,2.7895022503716413,-64.14300273655113,100
0.001,-10,30,-2.9416896113151987,2.697256604253577,-64.13485425319172,100
0.001,-10,40,-6.576787331754026,-3856200.426050375,1.1056263930326894e+26,4
0.001,-10,50,-6.576787331754026,-7602997937.783982,1.6707424032596097e+39,4
0.001,-10,60,-6.576787331754026,-2109193506256.9722,9.895453597005684e+48,4
0.001,-10,70,-6.576787331754026,-200215364060510.25,8.034513947662454e+56,4
0.001,-10,80,-7.20792391796875,1674685.641513624,3.932812045657241e+24,3
0.001,-10,90,-7.20792391796875,5102703.557121582,3.389778796513728e+26,3
0.001,-10,100,-7.20792391796875,13681498.455277592,1.7518812614364865e+28,3
0.001,0,-100,-0.00503999996875,-13681390.347680788,1.7518258904757967e+28,3
0.001,0,-90,-0.00503999996875,-5102647.5426145755,3.3896299548971134e+26,3
0.001,0,-80,-0.00503999996875,-1674658.989963672,3.93256169888885e+24,3
0.001,0,-70,-0.007620639712201877,200200705158382.1,8.03216119676164e+56,4
0.001,0,-60,-0.007620639712201877,2108937396507.3953,9.89064823310568e+48,4
0.001,0,-50,-0.007620639712201877,7601273044.929015,1.6692267531979668e+39,4
0.001,0,-40,-0.007620639712201877,3854166.1860699463,1.1032952586523657e+26,4
